id,app_url,title,price,hint
0,https://apps.shopify.com/hide-paypal-and-other-payment-option,All in one,$0.99/month,
1,https://apps.shopify.com/quick-pick,Quick Pick,$4.99/month,
2,https://apps.shopify.com/printout-designer,Micro,$4.99/month,
3,https://apps.shopify.com/printout-designer,Starter,$9.99/month,
4,https://apps.shopify.com/printout-designer,Basic,$19.99/month,
5,https://apps.shopify.com/printout-designer,Professional,$59.99/month,
6,https://apps.shopify.com/cartsguru,Growth,$199/month,2.5% on sales recovered
7,https://apps.shopify.com/related-blog-posts,,Free,
8,https://apps.shopify.com/flits,Basic,Free to install,*Paid Add ons Available- Store credits & 3 others
9,https://apps.shopify.com/flits,Advance,$5/month,"you only pay what you’ve actually used, and not a cent more."
10,https://apps.shopify.com/flits,Proffesional,$7/month,"you only pay what you’ve actually used, and not a cent more."
11,https://apps.shopify.com/flits,Enterprise,$10/month,Cost will be based on customers.
12,https://apps.shopify.com/dropwow,Dropwow,$29/month,
13,https://apps.shopify.com/google-express-integration,Starter Plan,$29/month,
14,https://apps.shopify.com/google-express-integration,Basic Plan,$49/month,
15,https://apps.shopify.com/google-express-integration,Gold Plan,$79/month,
16,https://apps.shopify.com/google-express-integration,Platinum Plan,$99/month,
17,https://apps.shopify.com/carecart-pro,Free,Free,
18,https://apps.shopify.com/carecart-pro,Plus,$19/month,
19,https://apps.shopify.com/carecart-pro,Premium,$29/month,
20,https://apps.shopify.com/awesome-store-locator,Free,Free,
21,https://apps.shopify.com/awesome-store-locator,Micro,$9/month,
22,https://apps.shopify.com/awesome-store-locator,Small,$19/month,
23,https://apps.shopify.com/awesome-store-locator,Medium,$59/month,
24,https://apps.shopify.com/dhl-discounted-shipping-by-inxpress,,Free,
25,https://apps.shopify.com/quantify,,$3.99/month,
26,https://apps.shopify.com/zero-out,,$9/month,
27,https://apps.shopify.com/orderlyprint,Awesome Timesaver,$49/month,
28,https://apps.shopify.com/wherever-chat,Regular,$12/month,"$12.00/month subscription, each additional agent is $12.00"
29,https://apps.shopify.com/instashop,Basic Plan,Free,
30,https://apps.shopify.com/instashop,Essential Plan,$12/month,
31,https://apps.shopify.com/poln,Start-Up,Free,
32,https://apps.shopify.com/poln,Growing,$9.99/month,
33,https://apps.shopify.com/poln,Elite,$49.99/month,
34,https://apps.shopify.com/poln,Enterprise,$199.99/month,
35,https://apps.shopify.com/coming-soon-1,,$14.99/month,
36,https://apps.shopify.com/subscription-payments,,$39.99/month,
37,https://apps.shopify.com/retail-ready-photos-by-pixc,,Free to install,"$79 = 40 credits, $299 = 170 credits, $1599 = 1000 credits"
38,https://apps.shopify.com/putler,Starter Plan,$19/month,
39,https://apps.shopify.com/putler,Growth Plan,$49/month,
40,https://apps.shopify.com/putler,Scale Plan,$149/month,
41,https://apps.shopify.com/pre-order-pro,Pre-order,$4.90/month,
42,https://apps.shopify.com/square-stock-sync,,$49/month,
43,https://apps.shopify.com/autoresponders-bridge-for-email-marketing,,$5/month,
44,https://apps.shopify.com/unific,,Free,
45,https://apps.shopify.com/size-charts-by-relentless,Basic Plan,Free,
46,https://apps.shopify.com/size-charts-by-relentless,Premium Plan,$4.99/month,
47,https://apps.shopify.com/social-buttons-by-widgetic,,Free,
48,https://apps.shopify.com/book-an-appointment,,$1.99/month,
49,https://apps.shopify.com/product-reviews-addon,Lite plan,Free,
50,https://apps.shopify.com/product-reviews-addon,Basic plan,$15/month,
51,https://apps.shopify.com/product-reviews-addon,Premium,$29/month,
52,https://apps.shopify.com/product-reviews-addon,Business,$69/month,
53,https://apps.shopify.com/powr-twitter-feed,Starter,$4.99/month,
54,https://apps.shopify.com/powr-twitter-feed,Pro,$11.99/month,
55,https://apps.shopify.com/powr-twitter-feed,Business,$49.99/month,
56,https://apps.shopify.com/powr-twitter-feed,Free,Free,
57,https://apps.shopify.com/cleverppc,Basic,Free,
58,https://apps.shopify.com/cleverppc,Premium,$49/month,
59,https://apps.shopify.com/cleverppc,Custom,$99/month,
60,https://apps.shopify.com/advanced-motivation-bar,Basic *,Free,
61,https://apps.shopify.com/advanced-motivation-bar,Basic,$5.99/month,
62,https://apps.shopify.com/advanced-motivation-bar,Premium,$9.99/month,
63,https://apps.shopify.com/recart,,$29/month,Monthly fee scales with the extra sales generated by Recart
64,https://apps.shopify.com/spice-product-add-ons,,$7.50/month,
65,https://apps.shopify.com/digital-takeout-clear-pricing,,$9.99/month,
66,https://apps.shopify.com/google-shopping-feed,Free Plans.,Free,
67,https://apps.shopify.com/google-shopping-feed,6 - 50 Products,$2.99/month,
68,https://apps.shopify.com/google-shopping-feed,51-500 Products,$4.99/month,
69,https://apps.shopify.com/google-shopping-feed,501-1000 Products,$8.99/month,Check Out Our Pricing Page for Additional Pricing.
70,https://apps.shopify.com/performance-team,,Free to install,Product warehousing and shipping fees
71,https://apps.shopify.com/b2b-dual-display-of-tax-included-and-tax-excluded-price,Base plan,$7.99/month,
72,https://apps.shopify.com/marsello,Free to Install,Free,
73,https://apps.shopify.com/marsello,Pro,$50/month,+$10/mo per 1000 extra customers. +2% of Email Flow Revenue.
74,https://apps.shopify.com/email-signatures,,Free,
75,https://apps.shopify.com/all-in-one-product-zoom,,$1.90/month,
76,https://apps.shopify.com/zipifypages,Basic,$67/month,
77,https://apps.shopify.com/zipifypages,Plus,$97/month,
78,https://apps.shopify.com/unfurls-meta-tags-manager,Small,$2.99/month,Additional charges may apply for utilizing meta tag experts
79,https://apps.shopify.com/unfurls-meta-tags-manager,Medium,$6.99/month,Additional charges may apply for utilizing meta tag experts
80,https://apps.shopify.com/unfurls-meta-tags-manager,Large,$12.99/month,Additional charges may apply for utilizing meta tag experts
81,https://apps.shopify.com/shipping-bar-master,Free,Free,
82,https://apps.shopify.com/shipping-bar-master,Pro,$9.99/month,
83,https://apps.shopify.com/snappy-search,GROWTH,$4.99/month,
84,https://apps.shopify.com/stream,Free,Free,
85,https://apps.shopify.com/stream,GOLD,$9.95/month,
86,https://apps.shopify.com/stream,PLATINUM,$45/month,
87,https://apps.shopify.com/power-bi-connector,Pro,$49/month,
88,https://apps.shopify.com/power-bi-connector,Plus,$99/month,
89,https://apps.shopify.com/power-bi-connector,Enterprise,$299/month,
90,https://apps.shopify.com/xsellco,,Free,
91,https://apps.shopify.com/mps-notify-me,Free,Free,
92,https://apps.shopify.com/mps-notify-me,Extra Small,$1.99/month,
93,https://apps.shopify.com/mps-notify-me,Small,$2.99/month,
94,https://apps.shopify.com/mps-notify-me,Medium,$6.99/month,Check out our pricing page for additional plan options!
95,https://apps.shopify.com/charge-rabbit,Free,Free to install,5% transaction fee on subscription payments
96,https://apps.shopify.com/charge-rabbit,Startup,$75/month,3% transaction fee on subscription payments
97,https://apps.shopify.com/charge-rabbit,Professional,$250/month,1% transaction fee on subscription payments
98,https://apps.shopify.com/hypervisual,Merchant,$9.95/month,
99,https://apps.shopify.com/hypervisual,Pro,$24/month,
100,https://apps.shopify.com/hypervisual,Ultimate,$49/month,
101,https://apps.shopify.com/conversio,Pay as you grow,$20/month,Monthly charge based on number of customers.
102,https://apps.shopify.com/gst-invoice-india,,$9.90/month,
103,https://apps.shopify.com/b2bkreate,,$24.99/month,
104,https://apps.shopify.com/addthis-sharing-tool,,Free,
105,https://apps.shopify.com/pixels,,Free,
106,https://apps.shopify.com/dropworx,,Free,
107,https://apps.shopify.com/exportly,,$10/month,
108,https://apps.shopify.com/post-it-notes-by-widgetic,Free,Free,
109,https://apps.shopify.com/post-it-notes-by-widgetic,Premium,$2.99/month,
110,https://apps.shopify.com/messenger,,Free,
111,https://apps.shopify.com/delhivery-indian-logistics-service,Lite,$9.99/month,
112,https://apps.shopify.com/delhivery-indian-logistics-service,Basic,$14.99/month,
113,https://apps.shopify.com/delhivery-indian-logistics-service,Pro,$19.99/month,
114,https://apps.shopify.com/smart-menu,Free Forever,Free,
115,https://apps.shopify.com/smart-menu,Premium,$6.99/month,
116,https://apps.shopify.com/shipping-tracker,,Free to install,Pay as you go based on fulfillment qty (check our pricing). First 10 shipments are tracked for free.
117,https://apps.shopify.com/product-discount,,$14.99/month,
118,https://apps.shopify.com/traffic-guard,Complete,$19/month,"$1 per 1,000 visits after the 30,000 included."
119,https://apps.shopify.com/sms-daddy,,Free to install,"As free plan comes with 500 credits, merchant can use free credits to test app after that service maintenance fees apply"
120,https://apps.shopify.com/instantdiscount,,$4.99/month,
121,https://apps.shopify.com/airpak-express,,Free,
122,https://apps.shopify.com/sixads-net,,Free to install,Premium plans start at $5.99 for 1000 extra impressions.
123,https://apps.shopify.com/otp-on-cart,,$5/month,
124,https://apps.shopify.com/video-player-by-widgetic,Free,Free,
125,https://apps.shopify.com/video-player-by-widgetic,Premium,$3.99/month,
126,https://apps.shopify.com/back-in-stock,Startup,$19/month,
127,https://apps.shopify.com/back-in-stock,Small business,$39/month,
128,https://apps.shopify.com/back-in-stock,Medium store,$59/month,
129,https://apps.shopify.com/back-in-stock,Large store,$79/month,
130,https://apps.shopify.com/simple-bulk-price-editor-scheduler,,$4.49/month,
131,https://apps.shopify.com/myreviewfy,Standard,$2.99/month,
132,https://apps.shopify.com/myreviewfy,Professional,$5.99/month,
133,https://apps.shopify.com/myreviewfy,Enterprise,$9.99/month,
134,https://apps.shopify.com/tablepress,,$1.99/month,
135,https://apps.shopify.com/social-testimonial-slider,Basic,Free,
136,https://apps.shopify.com/social-testimonial-slider,Pro,$2.99/month,
137,https://apps.shopify.com/metafields-pro,Basic Plan,$15/month,
138,https://apps.shopify.com/metafields-pro,Shopify PLUS,$30/month,
139,https://apps.shopify.com/i-agree-to-terms,,$2.50/month,
140,https://apps.shopify.com/pre-order,,$24.95/month,
141,https://apps.shopify.com/bulk-account-invite-sender,,Free to install,"Price ranges: $1 (20 emails), to $50 (10,000 emails), etc."
142,https://apps.shopify.com/bench,Starter,$125/month,
143,https://apps.shopify.com/bench,Micro,$145/month,
144,https://apps.shopify.com/bench,Boutique,$195/month,
145,https://apps.shopify.com/bench,Venture,$255/month,
146,https://apps.shopify.com/powr-contact-form,Free,Free,
147,https://apps.shopify.com/powr-contact-form,Starter,$8.99/month,
148,https://apps.shopify.com/powr-contact-form,Pro,$15.99/month,
149,https://apps.shopify.com/powr-contact-form,Business,$49.99/month,
150,https://apps.shopify.com/order-printer-emailer,,Free,
151,https://apps.shopify.com/pressure-cooker,,$4.95/month,
152,https://apps.shopify.com/autorespondermax,,$99/month,$99.00 per additional store
153,https://apps.shopify.com/newegg-marketplace-integration,Free,Free,
154,https://apps.shopify.com/newegg-marketplace-integration,Basic,$40/month,
155,https://apps.shopify.com/newegg-marketplace-integration,Advanced,$30/month,
156,https://apps.shopify.com/lookbook-shop-by-lookbook-images,Basic Plan,$3.99/month,
157,https://apps.shopify.com/lookbook-shop-by-lookbook-images,Product tagging,$9.99/month,
158,https://apps.shopify.com/lookbook-shop-by-lookbook-images,Buisness Tagging,$19.99/month,
159,https://apps.shopify.com/lookbook-shop-by-lookbook-images,Advanced Tagging,$49.99/month,
160,https://apps.shopify.com/couture-lane,,Free to install,15% commission on items sold on Couture Lane.
161,https://apps.shopify.com/right-click-disabler-stop-content-and-image-theft,,$3/month,
162,https://apps.shopify.com/purolator-ltl-freight-quotes,Basic Plan,$15/month,
163,https://apps.shopify.com/purolator-ltl-freight-quotes,Standard,$20/month,
164,https://apps.shopify.com/purolator-ltl-freight-quotes,Advanced,$40/month,
165,https://apps.shopify.com/autofill-discount-from-url,,$9/month,
166,https://apps.shopify.com/thank-you-coupon,,$8/month,
167,https://apps.shopify.com/bulk-discount-by-vendor,,Free,
168,https://apps.shopify.com/product-reviews-by-hulkapps,,Free,
169,https://apps.shopify.com/cart-conversion-boost,,$7.99/month,
170,https://apps.shopify.com/product-feed-manager,Silver Plan,$69.95/month,
171,https://apps.shopify.com/product-feed-manager,Silver + 1 MP,$119.95/month,
172,https://apps.shopify.com/product-feed-manager,Gold Package,$129.95/month,
173,https://apps.shopify.com/product-feed-manager,Gold + 1MP,$179.95/month,
174,https://apps.shopify.com/orangetwig,,Free to install,Paid Plans available for additional Designed Catalogs and managed services. Facebook ad spend billed separately.
